,title,price,mpg,rating
0,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
1,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
2,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
3,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
4,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
5,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
6,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
7,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
8,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
9,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
10,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
11,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
12,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
13,2020 Acura NSX,"$159,495",21 MPG,
14,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
15,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
16,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
17,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
18,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
19,2020 Acura NSX,"$159,495",21 MPG,
20,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
21,2020 Acura NSX,"$159,495",21 MPG,
22,2020 Volvo S60,"$37,045",27 MPG,4.6 / 5
23,2020 Volvo S90,"$51,545",25 MPG,4.0 / 5
24,2021 Volvo XC40,"$34,695",26 MPG,4.7 / 5
25,2020 Volvo XC60,"$41,145",24 MPG,4.3 / 5
26,2021 Volvo XC90,"$49,995",25 MPG,
27,2020 Volvo V60,"$46,095",25 MPG,4.6 / 5
28,2021 Volvo XC40,"$34,695",26 MPG,4.7 / 5
29,2020 Volvo XC60,"$41,145",24 MPG,4.3 / 5
30,2021 Volvo XC90,"$49,995",25 MPG,
31,2020 Volvo S60,"$37,045",27 MPG,4.6 / 5
32,2020 Volvo S90,"$51,545",25 MPG,4.0 / 5
33,2020 Volvo V60,"$40,645",27 MPG,4.6 / 5
34,2020 Volvo V90,"$52,445",26 MPG,4.3 / 5
35,2021 Volvo XC40,"$34,695",26 MPG,4.7 / 5
36,2020 Volvo XC60,"$41,145",24 MPG,4.3 / 5
37,2021 Volvo XC90,"$49,995",25 MPG,
38,2020 Volvo S60,"$56,395",30 MPG,4.6 / 5
39,2020 Volvo S90,"$64,195",30 MPG,4.0 / 5
40,2020 Volvo XC60,"$54,945",27 MPG,4.3 / 5
41,2021 Volvo XC90,"$64,445",27 MPG,
42,2020 Volvo S60,"$56,395",30 MPG,4.6 / 5
43,2020 Volvo S90,"$64,195",30 MPG,4.0 / 5
